Column1,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
1,56,26,0.683,0.0,102.7,98.2,4.08,2016,Toronto Raptors
2,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics
3,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
4,21,61,0.256,35.0,98.6,106,-7.12,2016,Brooklyn Nets
5,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
7,57,25,0.695,0.0,104.3,98.3,5.45,2016,Cleveland Cavaliers
8,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers
9,44,38,0.537,13.0,102,101.4,0.43,2016,Detroit Pistons
10,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
11,33,49,0.402,24.0,99,103.2,-3.98,2016,Milwaukee Bucks
13,48,34,0.585,0.0,100,98.4,1.5,2016,Miami Heat
14,48,34,0.585,0.0,102.8,99.2,3.49,2016,Atlanta Hawks
15,48,34,0.585,0.0,103.4,100.7,2.36,2016,Charlotte Hornets
16,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
17,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
1,55,27,0.671,0.0,110.2,102.9,7.09,2016,Oklahoma City Thunder
2,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers
3,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
4,33,49,0.402,22.0,101.9,105,-2.81,2016,Denver Nuggets
5,29,53,0.354,26.0,102.4,106,-3.38,2016,Minnesota Timberwolves
7,73,9,0.89,0.0,114.9,104.1,10.38,2016,Golden State Warriors
8,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers
9,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
10,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
11,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
13,67,15,0.817,0.0,103.5,92.9,10.28,2016,San Antonio Spurs
14,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks
15,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies
16,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets
17,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
1,53,29,0.646,0.0,108,105.4,2.25,2017,Boston Celtics
2,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors
3,31,51,0.378,22.0,104.3,108,-3.87,2017,New York Knicks
4,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
5,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
7,51,31,0.622,0.0,110.3,107.2,2.87,2017,Cleveland Cavaliers
8,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks
9,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers
10,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls
11,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
13,49,33,0.598,0.0,109.2,107.4,1.36,2017,Washington Wizards
14,43,39,0.524,6.0,103.2,104,-1.23,2017,Atlanta Hawks
15,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
16,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
17,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
1,51,31,0.622,0.0,100.7,96.8,4,2017,Utah Jazz
2,47,35,0.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder
